Nov. 23, 2024   17:47:14
A.C. Impedance
File: e:\2023data\yx\20241123\6-1\eis.bin
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0.848
High Frequency (Hz) = 1e+5
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg
3.162e+1, 5.155e+0, -4.798e-1, 5.177e+0, -5.3
2.610e+1, 5.202e+0, -5.741e-1, 5.234e+0, -6.3
2.154e+1, 5.265e+0, -6.832e-1, 5.309e+0, -7.4
1.778e+1, 5.329e+0, -8.083e-1, 5.390e+0, -8.6
1.468e+1, 5.391e+0, -9.489e-1, 5.474e+0, -10.0
1.212e+1, 5.469e+0, -1.105e+0, 5.579e+0, -11.4
1.000e+1, 5.590e+0, -1.266e+0, 5.732e+0, -12.8
8.254e+0, 5.741e+0, -1.434e+0, 5.918e+0, -14.0
6.813e+0, 5.912e+0, -1.629e+0, 6.132e+0, -15.4
5.623e+0, 6.138e+0, -1.850e+0, 6.411e+0, -16.8
4.642e+0, 6.426e+0, -2.087e+0, 6.757e+0, -18.0
3.831e+0, 6.776e+0, -2.331e+0, 7.166e+0, -19.0
3.162e+0, 7.187e+0, -2.574e+0, 7.634e+0, -19.7
2.610e+0, 7.645e+0, -2.782e+0, 8.135e+0, -20.0
2.154e+0, 8.125e+0, -2.912e+0, 8.631e+0, -19.7
1.778e+0, 8.688e+0, -2.966e+0, 9.181e+0, -18.8
1.468e+0, 9.256e+0, -2.942e+0, 9.713e+0, -17.6
1.212e+0, 9.779e+0, -2.851e+0, 1.019e+1, -16.3
1.000e+0, 1.023e+1, -2.664e+0, 1.057e+1, -14.6
8.254e-1, 1.055e+1, -2.440e+0, 1.083e+1, -13.0
6.813e-1, 1.082e+1, -2.214e+0, 1.104e+1, -11.6
5.623e-1, 1.107e+1, -1.951e+0, 1.124e+1, -10.0
4.642e-1, 1.133e+1, -1.749e+0, 1.146e+1, -8.8
3.831e-1, 1.153e+1, -1.591e+0, 1.164e+1, -7.9
3.162e-1, 1.166e+1, -1.380e+0, 1.174e+1, -6.7
2.610e-1, 1.183e+1, -1.182e+0, 1.189e+1, -5.7
2.154e-1, 1.191e+1, -1.042e+0, 1.196e+1, -5.0
1.778e-1, 1.191e+1, -8.968e-1, 1.194e+1, -4.3
1.468e-1, 1.215e+1, -6.746e-1, 1.217e+1, -3.2
1.212e-1, 1.226e+1, -5.129e-1, 1.227e+1, -2.4
1.000e-1, 1.204e+1, -5.083e-1, 1.205e+1, -2.4
